"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
151,AMMA CASHEW FACTORY,SMERA B+,03-Aug-15,Suspended,05-Dec-16,-,-,-,-,-,-,-,-
152,AMMA CONSTRUCTION INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,23-Jan-18,-,-,-,-,-,-,-,-,-,-
153,AMMEN MILLS,SMERA D,09-Mar-17,-,-,-,-,-,-,-,-,-,-
154,AMOL ENTERPRISES,SMERA B+,16-Dec-16,-,-,-,-,-,-,-,-,-,-
155,AMPLE TEXTECH PRIVATE LIMITED,SMERA B/SMERA A4,28-Jan-17,-,-,-,-,-,-,-,-,-,-
156,AMR SUMANGALEE JEWELLERRS,SMERA B+,16-Jul-14,-,-,-,-,-,-,-,-,-,-
157,AMRI HOSPITALS LIMITED,SMERA A-(SO),17-Jan-18,-,-,-,-,-,-,-,-,-,-
158,AMRIT CEMENT LIMITED,SMERA C/SMERA A4,11-May-15,SMERA D,10-Sep-16,-,-,-,-,-,-,-,-
159,AMRIT CEMENT LIMITED,SMERA C,05-Dec-17,-,-,-,-,-,-,-,-,-,-
160,AMRITSAR RICE LAND,SMERA B,29-Sep-14,Suspended,24-Dec-15,-,-,-,-,-,-,-,-
161,AMRUT CONSTRUCTION,SMERA BB-/SMERA A4,28-Feb-18,-,-,-,-,-,-,-,-,-,-
162,AMULYA SEA FOODS,SMERA BB+/SMERA A4+,24-Aug-15,SMERA BB/SMERA A4+,14-Mar-17,-,-,-,-,-,-,-,-
163,AMZ PACKAGING PRIVATE LIMITED,SMERA B-/SMERA A4,04-Sep-15,Indicative,02-Feb-18,-,-,-,-,-,-,-,-
164,AMZEN MACHINES PRIVATE LIMITED,SMERA BB/SMERA A4+,24-Mar-15,Suspended,31-May-16,-,-,-,-,-,-,-,-
165,ANAND EDUCATION SOCIETY,SMERA C,03-Nov-14,Suspended,29-Jan-16,-,-,-,-,-,-,-,-
166,ANAND TRANSFORMERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,28-Dec-16,-,-,-,-,-,-,-,-,-,-
167,ANANDA SAW MILLS,SMERA B/SMERA A4,11-Dec-13,Suspended,16-Feb-15,-,-,-,-,-,-,-,-
168,ANANDALOK HOSPITAL,SMERA B+/SMERA A4,22-Sep-17,-,-,-,-,-,-,-,-,-,-
169,ANANDCINE SERVICES PRIVATE LIMITED,SMERA A3,27-Dec-17,Withdrawn,28-Feb-18,SMERA A2(SO),07-Mar-18,-,-,-,-,-,-
170,ANANDI MARKETING,SMERA B+,23-Mar-18,-,-,-,-,-,-,-,-,-,-
171,ANANDSONS OVERSEAS TRADING PRIVATE LIMITED,SMERA A4,10-Aug-15,-,-,-,-,-,-,-,-,-,-
172,ANANT RAJ LIMITED,SMERA BBB+,05-Mar-18,-,-,-,-,-,-,-,-,-,-
173,ANANTHA BIOTECHNOLOGIES AND ALLIED PRIVATE LIMITED,SMERA B,29-Jul-15,Suspended,19-Oct-16,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
174,ANIL STEEL WORKS,SMERA D,29-Sep-17,-,-,-,-,-,-,-,-,-,-
175,ANILA SEED PROCESSING INDUSTRIES,SMERA B,28-Sep-16,-,-,-,-,-,-,-,-,-,-
176,ANITA EXPORTS,SMERA B-/SMERA A4,05-Feb-16,-,-,-,-,-,-,-,-,-,-
177,ANJANAMURTHY,SMERA B-,01-Dec-16,Indicative,13-Dec-17,-,-,-,-,-,-,-,-
178,ANJANEYA BREEDING FARM AND HATCHERIES,SMERA B+,11-Sep-17,-,-,-,-,-,-,-,-,-,-
179,ANJANI INFRA,SMERA B+,26-Dec-14,SMERA BB-,21-Jan-16,Withdrawn,03-Mar-17,-,-,-,-,-,-
180,ANKUR CHEMFOOD LIMITED,SMERA BB/SMERA A4+,30-Sep-14,Suspended,16-Dec-15,-,-,-,-,-,-,-,-
181,ANMOL FLUID CONTROL PRODUCTS PRIVATE LIMITED,SMERA BB+/SMERA A4+,12-Jan-18,-,-,-,-,-,-,-,-,-,-
182,ANNAI APPLIANCES MANUFACTURING PRIVATE LIMITED,SMERA D,10-Apr-15,Indicative,28-Sep-17,-,-,-,-,-,-,-,-
183,ANNAI ARUL HEALTHCARE PRIVATE LIMITED,SMERA BB-/SMERA A4,05-Jan-17,Indicative,23-Mar-18,-,-,-,-,-,-,-,-
184,ANNAM STEELS,SMERA B,11-Sep-15,SMERA D,10-Dec-16,Indicative,28-Feb-18,-,-,-,-,-,-
185,ANNAPURNA AGRO PRODUCTS,SMERA B,27-Nov-15,-,-,-,-,-,-,-,-,-,-
186,ANNAPURNA TRADERS,SMERA B-/SMERA A4,27-Apr-16,Indicative,31-Aug-17,-,-,-,-,-,-,-,-
187,ANOFOL FAR EAST ANODIZING PRIVATE LIMITED,SMERA B/SMERA A4,31-Dec-13,SMERA D,13-Mar-15,SMERA B-/SMERA A4,25-Jun-15,Suspended,20-Sep-16,-,-,-,-
188,ANOJ KUMAR AGARWALA,SMERA BB+/SMERA A4+,24-Feb-17,-,-,-,-,-,-,-,-,-,-
