"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
719,DURLAX ARCHITECH PRIVATE LIMITED,SMERA B+,12-Jan-17,Indicative,09-Mar-18,-,-,-,-,-,-,-,-
720,DYNAMIC INDUSTRIES LIMITED,SMERA BB+/SMERA A4+,20-Dec-13,Withdrawn,12-Jan-15,-,-,-,-,-,-,-,-
721,EAGLE CONTINENTAL FOODS PRIVATE LIMITED,SMERA A3,05-Aug-15,Indicative,27-Dec-17,-,-,-,-,-,-,-,-
722,EAGLE SIZERS,SMERA BB-,09-May-16,Indicative,26-May-17,-,-,-,-,-,-,-,-
723,EARTH STONE GLOBAL,SMERA B/SMERA A4,25-May-17,-,-,-,-,-,-,-,-,-,-
724,EARTHBAGS EXPORT PRIVATE LIMITED,SMERA B-,21-Dec-15,Indicative,10-Mar-17,-,-,-,-,-,-,-,-
725,EAST HOOGHLY POLYPLAST PRIVATE LIMITED,SMERA BB-/SMERA A4+,16-Oct-15,Suspended,10-Dec-16,-,-,-,-,-,-,-,-
726,EAST INDIA PACKAGINGS PRIVATE LIMITED,SMERA BB,05-Dec-17,-,-,-,-,-,-,-,-,-,-
727,EAST INDIA STEEL COMPANY,SMERA B+,06-Jan-15,Suspended,14-Mar-16,SMERA BB-,03-Mar-17,-,-,-,-,-,-
728,EAST INDIA TECHNOLOGIES PRIVATE LIMITED,SMERA BB+/SMERA A4+,20-Dec-13,Suspended,20-Mar-15,-,-,-,-,-,-,-,-
729,EASTERN CARGO CARRIERS INDIA PRIVATE LIMITED,SMERA BB,10-Dec-15,-,-,-,-,-,-,-,-,-,-
730,EASTERN ELECTRODES & COKE PRIVATE LIMITED,SMERA B+/SMERA A4,20-Jan-14,Suspended,07-May-15,-,-,-,-,-,-,-,-
731,EASTERN TRACK UDYOG PRIVATE LIMITED,SMERA BB/SMERA A4+,08-Aug-17,-,-,-,-,-,-,-,-,-,-
732,EASTMAN,SMERA BB/SMERA A4+,06-Sep-13,SMERA BB-/SMERA A4,08-Feb-18,-,-,-,-,-,-,-,-
733,EASTMAN CAST AND FORGE LIMITED,SMERA BBB-/SMERA A3+,11-Mar-14,Suspended,18-Jun-15,-,-,-,-,-,-,-,-
734,EASTMAN INDUSTRIES LIMITED,SMERA BBB-/SMERA A3+,11-Mar-14,Suspended,18-Jun-15,-,-,-,-,-,-,-,-
735,EASTMAN METTCAST LIMITED,SMERA B+/SMERA A4,17-Feb-17,-,-,-,-,-,-,-,-,-,-
736,EBC BEARINGS INDIA LIMITED,SMERA A4,08-Dec-17,-,-,-,-,-,-,-,-,-,-
737,EBULLIENT PACKAGING PRIVATE LIMITED,SMERA BB+/SMERA A4+,14-Jul-15,Suspended,08-Oct-16,-,-,-,-,-,-,-,-
738,ECL FINANCE LIMITED,SMERA AA,18-Apr-17,-,-,-,-,-,-,-,-,-,-
739,ECL FINANCE LIMITED,SMERA AA+,28-Apr-17,-,-,-,-,-,-,-,-,-,-
740,ECO FUEL SYSTEMS INDIA PRIVATE LIMITED,SMERA BB+/SMERA A4+,23-Jul-13,Suspended,04-Dec-14,SMERA BB/SMERA A4+,21-Jun-16,-,-,-,-,-,-
741,ECO LITE TECHNOLOGIES,SMERA D,17-May-17,-,-,-,-,-,-,-,-,-,-
742,EDCONS EXPORTS PRIVATE LIMITED,SMERA BBB-/SMERA A3,13-Nov-14,SMERA BB+/SMERA A4+,11-Mar-16,Indicative,11-Jul-17,-,-,-,-,-,-
743,EDELWEISS HOUSING FINANCE LIMITED,SMERA AA+,16-Aug-17,-,-,-,-,-,-,-,-,-,-
744,EDELWEISS RETAIL FINANCE LIMITED,SMERA AA,02-Dec-17,-,-,-,-,-,-,-,-,-,-
745,EFFWA INFRA AND RESEARCH PRIVATE LIMITED,SMERA B+/SMERA A4,02-Sep-15,Suspended,30-Nov-16,-,-,-,-,-,-,-,-
746,EG COMMUNICATIONS PRIVATE LIMITED,SMERA BBB-/SMERA A3,12-Aug-15,SMERA BBB/SMERA A3+,12-Mar-18,-,-,-,-,-,-,-,-
747,EJAZ TANNING COMPANY,SMERA B+/SMERA A4,31-Aug-17,-,-,-,-,-,-,-,-,-,-
748,EKDANT BUILDTECH PRIVATE LIMITED,SMERA D,07-Jan-15,-,-,-,-,-,-,-,-,-,-
749,EKDANT INFRABUILD PRIVATE LIMITED,SMERA D,07-Jan-15,-,-,-,-,-,-,-,-,-,-
750,EKTA ENGINEERING UDYOG PRIVATE LIMITED,SMERA BB,03-Jul-15,Suspended,11-Aug-16,SMERA BB+/SMERA A4+,21-Nov-16,SMERA BBB-/SMERA A3,02-Feb-18,-,-,-,-
751,EKTA RICE LAND,SMERA B,16-May-17,-,-,-,-,-,-,-,-,-,-
752,ELCOM INNOVATIONS PRIVATE LIMITED,SMERA B+/SMERA A4,12-Jan-16,Indicative,27-Apr-17,-,-,-,-,-,-,-,-
753,ELCON,SMERA BB,30-Jan-18,-,-,-,-,-,-,-,-,-,-
754,ELECTINE ARN ALLOYS PRIVATE LIMITED,SMERA B,23-Nov-17,-,-,-,-,-,-,-,-,-,-
755,ELECTRONIC APPLYANCES,SMERA B+/SMERA A4,06-Mar-18,-,-,-,-,-,-,-,-,-,-
756,ELECTRONICA FINANCE LIMITED,SMERA A-/SMERA A2+,09-Dec-15,Indicative,19-May-17,-,-,-,-,-,-,-,-
757,ELECTRONICA PLASTIC MACHINES LIMITED,SMERA B+/SMERA A4,05-Jun-15,Suspended,22-Aug-16,-,-,-,-,-,-,-,-
758,ELECTRONICA TUNGSTEN LIMITED,SMERA BBB-/SMERA A3,20-Mar-17,-,-,-,-,-,-,-,-,-,-
759,ELECTRONICS ENTERPRISES (INDIA) PRIVATE LIMITED,SMERA B+/SMERA A4,22-Jul-16,-,-,-,-,-,-,-,-,-,-
760,ELEKTRON LIGHTING SYSTEMS PRIVATE LIMITED,SMERA BB/SMERA A4+,14-Oct-17,-,-,-,-,-,-,-,-,-,-
761,EMBIOTIC LABORATORIES PRIVATE LIMITED,SMERA B-/SMERA A4,26-Feb-14,Suspended,22-Apr-15,-,-,-,-,-,-,-,-
762,EMCO DYNATORQ PRIVATE LIMITED,SMERA BBB-,09-Jun-17,-,-,-,-,-,-,-,-,-,-
763,EMCO TECH EQUIPMENTS PRIVATE LIMITED,SMERA BB-/SMERA A4,28-Dec-17,-,-,-,-,-,-,-,-,-,-
764,EMDEE DIGITRONICS PRIVATE LIMITED,SMERA BB-/SMERA A4+,25-Jul-15,Indicative,04-Jan-18,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
765,EMERALD FORGE PRIVATE LIMITED,SMERA B-,06-Nov-17,-,-,-,-,-,-,-,-,-,-
766,EMERALD HOME DEVELOPERS PRIVATE LIMITED,SMERA B,10-May-16,Indicative,18-Aug-17,-,-,-,-,-,-,-,-
767,EMPEE DISTILLERIES LIMITED,SMERA D,27-Feb-14,Suspended,26-Oct-15,-,-,-,-,-,-,-,-
768,EMPEROR TIMBER TRADER PRIVATE LIMITED,SMERA BB-/SMERA A4+,06-Oct-15,SMERA BB/SMERA A4+,26-Dec-16,Indicative,23-Feb-18,-,-,-,-,-,-
769,ENAR INDUSTRIAL ENTERPRISES LIMITED,SMERA BB-,14-Oct-16,Indicative,10-Jan-18,-,-,-,-,-,-,-,-
770,ENAR RUBBER RECLAIM INDUSTRIES PRIVATE LIMITED,SMERA B,14-Oct-16,Indicative,10-Jan-18,-,-,-,-,-,-,-,-
771,ENCARTA PHARMA PRIVATE LIMITED,SMERA D/SMERA D,30-Dec-17,-,-,-,-,-,-,-,-,-,-
772,ENCO SHOES,SMERA A4+,17-Aug-15,Suspended,28-Oct-16,SMERA A4+,22-Dec-17,-,-,-,-,-,-
773,ENEFPY FASHIONS PRIVATE LIMITED,SMERA BB-,19-Sep-14,Suspended,18-Dec-15,-,-,-,-,-,-,-,-
774,ENESTEE ENGINEERING LIMITED,SMERA BB+/SMERA A4+,03-Dec-15,-,-,-,-,-,-,-,-,-,-
775,ENKAY EXPORTS INDIA LIMITED,SMERA BB-/SMERA A4,23-Nov-17,-,-,-,-,-,-,-,-,-,-
776,ENNOVATORS INDIA PRIVATE LIMITED,SMERA B,16-Dec-16,-,-,-,-,-,-,-,-,-,-
777,ENPRO INDUSTRIES PRIVATE LIMITED,SMERA BBB/SMERA A3+,18-Mar-16,-,-,-,-,-,-,-,-,-,-
778,ENSOL MULTICLEAN EQUIPMENTS PRIVATE LIMITED,SMERA B/SMERA A4,22-Mar-16,-,-,-,-,-,-,-,-,-,-
779,ENTRACK OVERSEAS PRIVATE LIMITED,SMERA BB-,28-Jan-16,-,-,-,-,-,-,-,-,-,-
780,ENVISION NETWORK TECHNOLOGIES PRIVATE LIMITED,SMERA BB-/SMERA A4+,18-Jan-18,-,-,-,-,-,-,-,-,-,-
781,ENVY CYLINDERS PRIVATE LIMITED,SMERA B+/SMERA A4,30-Jun-16,Indicative,26-Sep-17,SMERA BB-/SMERA A4+,10-Jan-18,-,-,-,-,-,-
782,EPITOME PETROPACK LIMITED,SMERA B-/SMERA A4,04-Jan-16,Indicative,08-Feb-17,SMERA B+/SMERA A4,22-Jun-17,-,-,-,-,-,-
783,EPR CENTRE FOR CANCER RESEARCH AND BIOINFORMATICS PRIV,STME ELRIMA IBT+E/DSMERA A4,13-Feb-18,-,-,-,-,-,-,-,-,-,-
784,EROS INFRASTRUCTURES PRIVATE LIMITED,SMERA BB/SMERA A4+,13-Dec-17,-,-,-,-,-,-,-,-,-,-
785,EROS MOTORS PRIVATE LIMITED,SMERA BB+/SMERA A4+,15-Mar-17,-,-,-,-,-,-,-,-,-,-
786,ESS CEE ENTERPRISES,SMERA B-,27-Jun-17,-,-,-,-,-,-,-,-,-,-
787,ESS PEE KNIT WEAR,SMERA BBB-/SMERA A3,04-Jan-17,Indicative,07-Feb-18,-,-,-,-,-,-,-,-
788,ESSBEE INTECH PRIVATE LIMITED,SMERA BB+,03-Feb-16,Indicative,04-Jan-18,-,-,-,-,-,-,-,-
789,ESSPAL INTERNATIONAL PRIVATE LIMITED,SMERA BBB-/SMERA A3,22-Mar-18,-,-,-,-,-,-,-,-,-,-
790,ESTEEM PROJECTS PRIVATE LIMITED,SMERA BB,09-Sep-15,SMERA BB-,02-Dec-16,-,-,-,-,-,-,-,-
791,ESWARI GLOBAL METAL INDUSTRIES PRIVATE LIMITED,SMERA BBB/SMERA A2,21-Mar-18,-,-,-,-,-,-,-,-,-,-
792,ETA ENGINEERS BANGALORE PRIVATE LIMITED,SMERA BB/SMERA A4+,21-Jul-17,-,-,-,-,-,-,-,-,-,-
793,ETA TECHNOPARK LIMITED,SMERA B,17-Jun-14,SMERA B+,17-Apr-15,Withdrawn,14-Jul-16,-,-,-,-,-,-
794,EULOGIA INN LLP,SMERA B,10-Feb-17,-,-,-,-,-,-,-,-,-,-
795,EUROSHINE JEWELLERY WORKS PRIVATE LIMITED,SMERA BB,13-Jan-16,-,-,-,-,-,-,-,-,-,-
796,EUROTEK ENVIRONMENTAL PRIVATE LIMITED,SMERA BB+/SMERA A4+,20-Jun-17,-,-,-,-,-,-,-,-,-,-
797,EVER BRIGHT PRODUCTS,SMERA BB+/SMERA A4+,07-Nov-17,-,-,-,-,-,-,-,-,-,-
798,EVEREST INSTRUMENTS PRIVATE LIMITED,SMERA BB+/SMERA A4+,02-Sep-13,Suspended,05-Aug-14,-,-,-,-,-,-,-,-
799,EVEREST STARCH INDIA PRIVATE LIMITED,SMERA BB+,15-Mar-18,-,-,-,-,-,-,-,-,-,-
800,EVERGREEN INTERNATIONAL LIMITED,SMERA B+/SMERA A4,09-Nov-15,Indicative,08-Feb-17,-,-,-,-,-,-,-,-
801,EVERON CASTINGS PRIVATE LIMITED,SMERA BB-/SMERA A4,21-Jun-16,Indicative,23-Sep-17,-,-,-,-,-,-,-,-
802,EVERSHINE SMELTING ALLOY PRIVATE LIMITED,SMERA BB-/SMERA A4+,02-Sep-16,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
803,EXCEL ELECTRIC PRIVATE LIMITED,SMERA BB-,25-Jan-18,-,-,-,-,-,-,-,-,-,-
804,EXCEL PRIME COMMODITIES PRIVATE LIMITED,SMERA A4+,14-Jul-15,SMERA BB-,28-Aug-15,Withdrawn,31-Mar-17,-,-,-,-,-,-
805,EXCELL AUTOVISTA PRIVATE LIMITED,SMERA BB-/SMERA A4+,29-Apr-13,Suspended,29-May-15,-,-,-,-,-,-,-,-
806,EXCELLOUS COMMODITIES PRIVATE LIMITED,SMERA B/SMERA A4,04-Oct-17,-,-,-,-,-,-,-,-,-,-
807,EXCLE PAPER PACKAGING PRIVATE LIMITED,SMERA B-,30-Apr-15,Indicative,31-Aug-17,-,-,-,-,-,-,-,-
808,EXCLUSIVE FIBERS LIMITED,SMERA BB-/SMERA A4+,08-Aug-17,-,-,-,-,-,-,-,-,-,-
809,EXIM CORPORATION,SMERA A4+,06-Mar-18,-,-,-,-,-,-,-,-,-,-
810,EXPOVAN,SMERA A4+,15-Feb-16,SMERA BB-,22-Jun-16,SMERA BB,09-May-17,-,-,-,-,-,-
811,EXTENT SERVICES PRIVATE LIMITED,SMERA BB-/SMERA A4+,18-May-17,-,-,-,-,-,-,-,-,-,-
812,EXULT AGENCY PRIVATE LIMITED,SMERA B/SMERA A4,05-Jul-16,Indicative,13-Sep-17,-,-,-,-,-,-,-,-
813,FABRICON,SMERA B+,07-Aug-17,-,-,-,-,-,-,-,-,-,-
814,FABRO FORGE,SMERA BB/SMERA A4+,08-Aug-17,-,-,-,-,-,-,-,-,-,-
815,FACCTUM WEARS,SMERA BB/SMERA A4+,08-Nov-16,-,-,-,-,-,-,-,-,-,-
816,FAHRENHEIT ENTERPRISES,SMERA B,01-Sep-15,SMERA D,25-Jul-16,Indicative,26-Oct-17,-,-,-,-,-,-
817,FAHRENHEIT MOTORS PRIVATE LIMITED,SMERA B,01-Sep-15,SMERA D,25-Jul-16,Indicative,26-Oct-17,-,-,-,-,-,-
818,FAIRLIE HOTELS & RESORTS PRIVATE LIMITED,SMERA B,26-Aug-15,Suspended,19-Dec-16,-,-,-,-,-,-,-,-
819,FAIZAN SHOES PRIVATE LIMITED,SMERA A4,10-Apr-17,SMERA B+/SMERA A4,31-Jul-17,-,-,-,-,-,-,-,-
820,FARAH POLYSACK PRIVATE LIMITED,SMERA B+,23-Dec-15,Indicative,12-May-17,-,-,-,-,-,-,-,-
821,FARBE FIRMA,SMERA B-,14-Nov-17,-,-,-,-,-,-,-,-,-,-
822,FARMACHEM,SMERA B+/SMERA A4,25-Feb-14,Suspended,04-Jun-15,-,-,-,-,-,-,-,-
823,FASHION KNITS,SMERA BB/SMERA A4+,31-Jul-15,-,-,-,-,-,-,-,-,-,-
824,FATWHEELS BIKER VILLAGE PRIVATE LIMITED,SMERA B-/SMERA A4,18-May-17,-,-,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
825,FAZIL TIMBERS,SMERA B/SMERA A4,04-Oct-17,-,-,-,-,-,-,-,-,-,-
826,FEDBANK FINANCIAL SERVICES LIMITED,SMERA A1+,29-Sep-17,-,-,-,-,-,-,-,-,-,-
827,FENACE AUTO LIMITED,SMERA BBB+/SMERA A2+,19-Dec-14,Suspended,02-Sep-15,-,-,-,-,-,-,-,-
828,FENASIA LIMITED,SMERA B-/SMERA A4,22-Jul-16,-,-,-,-,-,-,-,-,-,-
829,FERNANDES BROTHERS,SMERA BB/SMERA A4+,30-Nov-16,-,-,-,-,-,-,-,-,-,-
830,FERROMET STEELS PRIVATE LIMITED,SMERA C,09-Jul-16,"SMERA D(Indicative-Downgraded)",04-Oct-17,-,-,-,-,-,-,-,-
831,FILTERATION ENGINEERS INDIA PRIVATE LIMITED,SMERA BB-/SMERA A4+,30-Mar-15,SMERA BB-/SMERA A4,12-Jul-16,Indicative,12-Jan-18,-,-,-,-,-,-
832,FINEARC SYSTEMS PRIVATE LIMITED,SMERA BBB-/SMERA A3,20-Apr-17,-,-,-,-,-,-,-,-,-,-
833,FINECRETE ECO-BLOCKS PRIVATE LIMITED,SMERA B-,08-Nov-16,Indicative,29-Jan-18,-,-,-,-,-,-,-,-
834,FINKURVE FINANCIAL SERVICES LIMITED,SMERA B,18-Jan-17,-,-,-,-,-,-,-,-,-,-
835,FINO FOODS PRIVATE LIMITED,SMERA B-,05-Jul-17,-,-,-,-,-,-,-,-,-,-
836,FIONA SOLITAIRES PRIVATE LIMITED,SMERA B+,10-Aug-17,-,-,-,-,-,-,-,-,-,-
837,FIRMA COTTON INDUSTRIES,SMERA B,26-Mar-18,-,-,-,-,-,-,-,-,-,-
838,FIROZABAD CERAMICS PRIVATE LIMITED,SMERA B/SMERA A4,08-Oct-15,Indicative,28-Feb-18,-,-,-,-,-,-,-,-
839,FLEX ART FOIL LIMITED,SMERA BBB-/SMERA A3,25-May-15,SMERA D,11-Jan-16,Indicative,15-May-17,-,-,-,-,-,-
840,FLEXO FOAM PRIVATE LIMITED,SMERA B/SMERA A4,07-Nov-16,Indicative,25-Jan-18,-,-,-,-,-,-,-,-
841,FLORA MARMO INDUSTRIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,04-Jan-18,-,-,-,-,-,-,-,-,-,-
842,FLORIND SHOES PRIVATE LIMITED,SMERA D,06-Oct-17,-,-,-,-,-,-,-,-,-,-
843,FOODS AND INNS LIMITED,SMERA BBB-/SMERA A3,03-Aug-15,-,-,-,-,-,-,-,-,-,-
844,FOREST PRESS MACHINERIES PRIVATE LIMITED,SMERA BB-/SMERA A4,09-Jul-16,-,-,-,-,-,-,-,-,-,-
845,FORGE MASTERS (UNIT RADIANT INDUSTRIES),SMERA B,20-Nov-14,Suspended,16-Feb-16,SMERA B,30-Mar-16,Indicative,18-Jul-17,-,-,-,-
846,FORMOPLASTIC CONTROLS PRIVATE LIMITED,SMERA BB/SMERA A4+,19-May-15,Suspended,27-May-16,-,-,-,-,-,-,-,-
847,FORMULATED POLYMERS LIMITED,SMERA B-/SMERA A4,20-Feb-15,SMERA B+/SMERA A4,04-Nov-15,Indicative,15-Feb-17,-,-,-,-,-,-
848,FORTPOINT AUTOMOTIVE CARS PRIVATE LIMITED,SMERA BB,20-Mar-18,-,-,-,-,-,-,-,-,-,-
849,FORTUNE METALIKS LIMITED,SMERA BBB/SMERA A3+,16-Mar-18,-,-,-,-,-,-,-,-,-,-
850,FOYER MINES AND MINERALS PRIVATE LIMITED,SMERA B,20-Feb-18,-,-,-,-,-,-,-,-,-,-
851,FREEMANS MEASURES PRIVATE LIMITED,SMERA B,26-May-15,SMERA B+,14-May-16,Indicative,21-Aug-17,-,-,-,-,-,-
852,FREEWILL SPORTS PRIVATE LIMITED,SMERA BBB/SMERA A2,05-Jul-13,SMERA BBB+/SMERA A2,29-Oct-14,Suspended,13-Jan-16,-,-,-,-,-,-
853,FRIENDS FAB FORM PRIVATE LIMITED,SMERA BB-/SMERA A4+,30-Mar-17,-,-,-,-,-,-,-,-,-,-
854,FRIENDS INTERNATIONAL,SMERA B/SMERA A4,30-Mar-17,-,-,-,-,-,-,-,-,-,-
855,FRIENDS TIMBER PRIVATE LIMITED,SMERA B-/SMERA A4,06-Aug-14,Suspended,04-Nov-15,-,-,-,-,-,-,-,-
856,FRIENDS UNITY HOSPITAL & RESEARCH CENTRE PRIVATE LIMITED,SMERA B+,10-Dec-16,"SMERA B(Indicative -Downgraded)",22-Jan-18,-,-,-,-,-,-,-,-
857,FRONTIER ALLOY STEELS LIMITED,SMERA BBB-/SMERA A3,01-Apr-14,SMERA BBB/SMERA A3+,10-Jun-15,SMERA BBB+/SMERA A2,31-Aug-16,Indicative,28-Nov-17,-,-,-,-
858,FRONTIER ALLOY STEELS LIMITED,SMERA FBBB,10-Jun-15,Withdrawn,31-Aug-16,-,-,-,-,-,-,-,-
859,FRYSTAL PET PRIVATE LIMITED,SMERA BB,04-Jan-18,-,-,-,-,-,-,-,-,-,-
860,FULLARTON DISTILLERIES PRIVATE LIMITED,SMERA BB,04-Jan-16,-,-,-,-,-,-,-,-,-,-
861,FUNSIGN HOUSING PRIVATE LIMITED,SMERA B+,31-Mar-18,-,-,-,-,-,-,-,-,-,-
862,FUTURE ENTERPRISES LIMITED,SMERA Provisional AA(SO),06-Sep-16,SMERA AA+(SO),16-Sep-17,-,-,-,-,-,-,-,-
863,FUTURE ENTERPRISES LIMITED,SMERA Provisional AA+(SO),21-Sep-17,SMERA AA+ (SO),02-Feb-18,-,-,-,-,-,-,-,-
864,FUTURE ENTERPRISES LIMITED,SMERA Provisional AA+ (SO),02-Feb-18,-,-,-,-,-,-,-,-,-,-
865,FUTURE ENTERPRISES LIMITED,SMERA A1+,06-Mar-18,SMERA AA+ (SO),02-Feb-18,-,-,-,-,-,-,-,-
866,FUTURE FLEX PRIVATE LIMITED,SMERA B,09-May-17,-,-,-,-,-,-,-,-,-,-
867,FUTURE MARKET NETWORKS LIMITED,SMERA A-,20-Mar-18,-,-,-,-,-,-,-,-,-,-
868,FUTURE RETAIL LIMITED,SMERA Provisional AA(SO),04-Dec-15,Withdrawn,02-Sep-16,-,-,-,-,-,-,-,-
869,FUTURE RETAIL LIMITED,SMERA Provisional AA(SO),29-Jan-16,Withdrawn,02-Sep-16,-,-,-,-,-,-,-,-
870,FUTURE RETAIL LIMITED,SMERA A1+,01-Sep-17,-,-,-,-,-,-,-,-,-,-
871,G D FOODS MANUFACTURING (INDIA) PRIVATE LIMITED,SMERA BBB-/SMERA A3,15-Feb-16,Indicative,07-Jul-17,-,-,-,-,-,-,-,-
872,G D METSTEEL PRIVATE LIMITED,SMERA B-,17-Dec-13,Suspended,13-Apr-16,-,-,-,-,-,-,-,-
873,G K EXIM,SMERA A4,20-Feb-14,Suspended,09-Jul-15,-,-,-,-,-,-,-,-
874,G K PROTEINS PRIVATE LIMITED,SMERA A4,20-Feb-14,Suspended,09-Jul-15,-,-,-,-,-,-,-,-
875,G K ROOFINGS INDIA PRIVATE LIMITED,SMERA B-/SMERA A4,01-Jun-16,-,-,-,-,-,-,-,-,-,-
876,G K WINDING WIRES LIMITED,SMERA BBB-/SMERA A3,31-Jan-14,Suspended,24-Apr-15,-,-,-,-,-,-,-,-
877,G KOTESWARA RAO,SMERA BB-/SMERA A4+,24-Nov-16,Indicative,10-Feb-18,-,-,-,-,-,-,-,-
878,G M DEVELOPERS,SMERA B+,13-Jun-16,Indicative,26-Sep-17,-,-,-,-,-,-,-,-
879,G M EXPORTS,SMERA BB/SMERA A4+,01-Feb-17,SMERA BB+/SMERA A4+,22-Feb-18,-,-,-,-,-,-,-,-
880,G M REDDY COTTON INDUSTRIES PRIVATE LIMITED,SMERA BB-,23-Sep-17,-,-,-,-,-,-,-,-,-,-
881,G M S PROCESSORS PRIVATE LIMITED,SMERA BB-/SMERA A4+,26-Jul-17,-,-,-,-,-,-,-,-,-,-
882,G N BULLION PRIVATE LIMITED,SMERA BB,04-Feb-15,Indicative,15-May-17,-,-,-,-,-,-,-,-
"",,Initial Rating,,First Revision,,Second Revision,,Third Revision,,"FourthRevision",,"FifthRevision",
Sl.No.,Name of the Issuer,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
883,G NAGESWARAN,SMERA B-/SMERA A4,29-Jun-15,-,-,-,-,-,-,-,-,-,-
884,G P TRACTORS,SMERA B+/SMERA A4,10-Feb-18,-,-,-,-,-,-,-,-,-,-
885,G R KRISHNAIAH CHETTY,SMERA B+,28-Oct-16,-,-,-,-,-,-,-,-,-,-
886,G R M OVERSEAS LIMITED,SMERA BBB-/SMERA A3,29-Sep-17,-,-,-,-,-,-,-,-,-,-
887,G S AGRI EXIM PRIVATE LIMITED(THE ERSTWHILE G S EXIM PRIVA,SEM LEIMRAIT BEBD-)/SMERA A4+,03-Dec-15,SMERA BB/SMERA A4+,08-Feb-17,-,-,-,-,-,-,-,-
888,G S ATWAL AND CO (ENGINEERS) PRIVATE LIMITED,SMERA C/SMERA A4,03-Aug-16,SMERA B-/SMERA A4,29-Dec-17,-,-,-,-,-,-,-,-
889,G S SORTEX INDIA PRIVATE LIMITED,SMERA BB-,09-Aug-17,-,-,-,-,-,-,-,-,-,-
890,G THIRUVENGADAM,SMERA B-,25-Nov-16,Indicative,17-Oct-17,-,-,-,-,-,-,-,-
891,G V (GOD VISHNU) RICE UNIT,SMERA BBB/SMERA A3+,15-Mar-18,-,-,-,-,-,-,-,-,-,-
892,GA RANDERIAN PRIVATE LIMITED,SMERA A4,10-Jan-14,SMERA A4+,10-Apr-15,-,-,-,-,-,-,-,-
893,GADKARI BUILDERS AND ASSOCIATES,SMERA B,25-Nov-16,Indicative,21-Feb-18,-,-,-,-,-,-,-,-
894,GAIKWAD SHINDE ASSOCIATES,SMERA C,21-Mar-14,SMERA D,12-May-15,Indicative,09-Oct-17,-,-,-,-,-,-
895,GAJANAND CORPORATION PRIVATE LIMITED,SMERA BB-,31-Mar-18,-,-,-,-,-,-,-,-,-,-
896,GAJIWALA SAREES,SMERA BB-,20-Feb-15,SMERA BB,10-Mar-16,SMERA BB-,24-Jul-17,-,-,-,-,-,-
897,GAJRAJ TEXTILES LIMITED,SMERA B+,04-Dec-17,-,-,-,-,-,-,-,-,-,-
898,GALA PRINT CITY LIMITED,SMERA B+,15-Jul-15,Suspended,28-Jun-16,-,-,-,-,-,-,-,-
899,GALAXY ALUMINIUM LLP,SMERA BB/SMERA A4+,08-Mar-16,SMERA BB+/SMERA A4+,29-Jun-17,-,-,-,-,-,-,-,-
900,GALVA DECOPARTS PRIVATE LIMITED,SMERA BB/SMERA A4+,05-Jan-17,Indicative,19-Feb-18,-,-,-,-,-,-,-,-
901,GANESH COTTON INDUSTRIES,SMERA B/SMERA A4,24-Sep-16,Indicative,15-Nov-17,-,-,-,-,-,-,-,-
902,GANESH GRAINS LIMITED,SMERA BBB+/SMERA A2,29-Dec-15,Indicative,15-May-17,-,-,-,-,-,-,-,-
903,GANESH IMPEX,SMERA B/SMERA A4,10-Aug-16,Indicative,15-Jan-18,-,-,-,-,-,-,-,-
904,GANESH MARINE SERVICES,SMERA B/SMERA A4,13-Sep-17,-,-,-,-,-,-,-,-,-,-
905,GANESH STEEL & ALLOYS LIMITED,SMERA BB/SMERA A4+,30-Jul-15,Suspended,28-Jul-16,SMERA BB/SMERA A4+,22-Nov-16,-,-,-,-,-,-
906,GANGA FASHIONS PRIVATE LIMITED,SMERA BBB-,21-Apr-15,Indicative,14-Sep-17,-,-,-,-,-,-,-,-
907,GANNON DUNKERLEY AND COMPANY LIMITED,SMERA A-/SMERA A2+,20-Apr-17,-,-,-,-,-,-,-,-,-,-
908,GARDEN CITY EDUCATION TRUST,SMERA BB-/SMERA A4+,12-Jul-17,-,-,-,-,-,-,-,-,-,-
909,GARG SPINNING MILLS,SMERA BBB-,25-Feb-17,-,-,-,-,-,-,-,-,-,-
910,GARIMA VIKAS METALS PRIVATE LIMITED,SMERA C/SMERA A4,09-Jan-14,Suspended,29-Apr-15,-,-,-,-,-,-,-,-
911,GATEWAY EDUCATION & CHARITABLE SOCIETY,SMERA B,30-Jan-14,SMERA BB-,30-Jun-15,Indicative,09-Jan-18,-,-,-,-,-,-
