Sl. No.,Name of the Issuer,Initial Rating,"Date of Initial Rating",Rating after 1st revision,Date of 1st revision,"Rating after 2nd revision","Date of 2nd revision","Rating after 3rd revision","Date of 3rd revision","Rating after 4th revision","Date of 4th revision","Rating after 5th revision","Date of 5th revision","Rating after 6th revision","Date of 6th revision","Rating after 7th revision","Date of 7th revision","Rating after 8th revision",Date of 8th revision,"Rating after 9th revision","Date of 9th revision","Rating after 10th revision","Date of 10th revision","Rating after 11th revision","Date of 11th revision","Rating after 12th revision","Date of 12th revision","Rating after 13th revision","Date of 13th revision","Rating after 14th revision",Date of 14th revision,"Rating after 15th revision","Date of 15th revision","Rating after 16th revision","Date of 16th revision","Rating after 17th revision","Date of 17th revision","Rating after 18th revision",Date of 18th revision,"Rating after 19th revision","Date of 19th revision","Rating after 20th revision","Date of 20th revision","Rating after 21st revision",Date of 21st revision,"Rating after 22nd revision","Date of 22nd revision","Ratings Outstanding as on 31-March- 2018","Rating Date Outstanding as on 31-March-2018"
6369,Nsoft India Services Pvt Ltd BWR BB-,,01-Feb-13,BWR BB-,17-Jul-14,BWR BB,14-Oct-15,BWR BB+,27-Oct-16,BWR BBB -,22-Mar-18,,,,,,,,,,,BWR BBB -,22-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6370,Nsoft India Services Pvt Ltd BWR A4,,01-Feb-13,BWR A4,17-Jul-14,BWR A4,14-Oct-15,BWR A4,27-Oct-16,BWR A3,22-Mar-18,,,,,,,,,,,BWR A3,22-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6371,NSSL Pvt Limited (erstwhile NSSL Limited) BWR BB-,,15-Mar-13,BWR BB,29-Apr-14,BWR BB,02-Jun-14,BWR D,18-Aug-16,,,,,,,,,,,,,BWR D,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6372,NSSL Pvt Limited (erstwhile NSSL Limited) BWR A4+,,15-Mar-13,BWR A4+,29-Apr-14,BWR A4+,02-Jun-14,BWR D,18-Aug-16,,,,,,,,,,,,,BWR D,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6373,NSSL Pvt Limited (erstwhile NSSL Limited) BWR D,,18-Aug-16,,,,,,,,,,,,,,,,,,,BWR D,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6374,NTF India Private Limited BWR BBB,,08-Aug-12,BWR BBB,07-Apr-14,BWR BBB,09-Jan-15,BWR BBB,28-Apr-16,BWR BBB,29-Jan-18,,,,,,,,,,,BWR BBB,29-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6375,NTF India Private Limited BWR A3+,,08-Aug-12,BWR A3+,07-Apr-14,BWR A3+,09-Jan-15,BWR A3+,28-Apr-16,BWR A3 +,29-Jan-18,,,,,,,,,,,BWR A3 +,29-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6376,Nu-Chem Oils Pvt. Ltd BWR BB,,06-Oct-17,,,,,,,,,,,,,,,,,,,BWR BB,06-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6377,Nufarm Foods BWR B +,,31-Mar-18,,,,,,,,,,,,,,,,,,,BWR B +,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6378,Nufarm Frozens Pvt. Ltd BWR BB-,,06-Feb-17,,,,,,,,,,,,,,,,,,,BWR BB-,06-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6379,nuFuture Digital (India) Ltd. BWR A+ (SO),,04-Jun-15,BWR A+ (SO),14-Sep-16,BWR A + (SO),13-Nov-17,,,,,,,,,,,,,,,BWR A + (SO),13-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6380,Nutan Ispat & Power Pvt. Ltd. BWR A3,,17-Mar-15,NOT REVIEWED,28-Dec-16,BWR A4,15-Mar-18,,,,,,,,,,,,,,,BWR A4,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6381,Nutan Ispat & Power Pvt. Ltd. BWR BBB-,,17-Mar-15,NOT REVIEWED,28-Dec-16,BWR BB +,15-Mar-18,,,,,,,,,,,,,,,BWR BB +,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6382,Nutave Stone Crushers BWR B -,,23-Aug-17,,,,,,,,,,,,,,,,,,,BWR B -,23-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6383,Nutech Engineering Technologies Ltd. BWR BB -,,29-Mar-18,,,,,,,,,,,,,,,,,,,BWR BB -,29-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6384,Nutech Engineering Technologies Ltd. BWR A4,,29-Mar-18,,,,,,,,,,,,,,,,,,,BWR A4,29-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6385,Nutech Jetting Equipments India Pvt. Ltd BWR BB-,,08-May-17,,,,,,,,,,,,,,,,,,,BWR BB-,08-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6386,Nutech Jetting Equipments India Pvt. Ltd BWR A4,,08-May-17,,,,,,,,,,,,,,,,,,,BWR A4,08-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6387,Nutraplus India Limited BWR BBB-,,07-Jul-14,BWR BBB-,15-Mar-16,BWR BB,27-Jul-17,,,,,,,,,,,,,,,BWR BB,27-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6388,Nutraplus India Limited BWR A3,,07-Jul-14,BWR A3,15-Mar-16,BWR A4,27-Jul-17,,,,,,,,,,,,,,,BWR A4,27-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6389,Nutrients Agro Fruits Private Limited BWR B,,25-May-17,,,,,,,,,,,,,,,,,,,BWR B,25-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6390,Nuwood Industries BWR BB -,,08-Mar-18,,,,,,,,,,,,,,,,,,,BWR BB -,08-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6391,Nuwood Industries BWR A4,,08-Mar-18,,,,,,,,,,,,,,,,,,,BWR A4,08-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6392,NV Realty Pvt. Ltd BWR BBB(SO),,18-May-17,,,,,,,,,,,,,,,,,,,BWR BBB(SO),18-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6393,NV Realty Pvt. Ltd BWR A3,,18-May-17,,,,,,,,,,,,,,,,,,,BWR A3,18-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6394,NVR Infrastructure & Services Pvt. Ltd. BWR A-,,19-May-15,BWR BBB+,08-Dec-16,NOT REVIEWED,08-Dec-16,BWR A-,17-Feb-17,BWR A -,31-Mar-18,,,,,,,,,,,BWR A -,31-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6395,O P Kandoi & Co Pvt Ltd BWR B +,,15-Mar-18,,,,,,,,,,,,,,,,,,,BWR B +,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6396,O P Kandoi & Co Pvt Ltd BWR A4,,15-Mar-18,,,,,,,,,,,,,,,,,,,BWR A4,15-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6397,O.P. Associates BWR B,,25-Mar-15,BWR B,02-Nov-16,,,,,,,,,,,,,,,,,BWR B,02-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6398,Oasis Enterprises Pvt. Ltd BWR BB-,,20-Feb-17,,,,,,,,,,,,,,,,,,,BWR BB-,20-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,Oberai Motor Sales BWR D,,29-Jan-15,NOT REVIEWED,05-Aug-16,BWR D,07-Sep-17,,,,,,,,,,,,,,,BWR D,07-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,Octal Sales Pvt Ltd BWR B -,,18-Dec-17,,,,,,,,,,,,,,,,,,,BWR B -,18-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6401,Octorich Dairy Products BWR B,,26-Feb-18,,,,,,,,,,,,,,,,,,,BWR B,26-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6402,Odhavjibhai B Contractor & Company BWR B,,12-Feb-18,,,,,,,,,,,,,,,,,,,BWR B,12-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6403,Odhavjibhai B Contractor & Company BWR A4,,12-Feb-18,,,,,,,,,,,,,,,,,,,BWR A4,12-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6404,Ojovati Projects Private Limited BWR B +,,18-Dec-17,,,,,,,,,,,,,,,,,,,BWR B +,18-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,Ojus Power & Technologies Pvt Ltd BWR BB-,,11-Mar-16,NOT REVIEWED,25-May-17,,,,,,,,,,,,,,,,,NOT REVIEWED,25-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6406,Ojus Power & Technologies Pvt Ltd BWR A4,,11-Mar-16,NOT REVIEWED,25-May-17,,,,,,,,,,,,,,,,,NOT REVIEWED,25-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6407,Olive Lifesciences Pvt Ltd BWR BBB,,01-Jul-16,BWR BB,12-Dec-17,BWR C,02-Mar-18,,,,,,,,,,,,,,,BWR C,02-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6408,Olive Lifesciences Pvt Ltd BWR A3+,,01-Jul-16,BWR A4,12-Dec-17,BWR A4,02-Mar-18,,,,,,,,,,,,,,,BWR A4,02-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,Oliver Fresh Fruits & Vegetables Pvt. Ltd. BWR BB -,,12-Feb-18,,,,,,,,,,,,,,,,,,,BWR BB -,12-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6410,Oliver Fresh Fruits & Vegetables Pvt. Ltd. BWR A4,,12-Feb-18,,,,,,,,,,,,,,,,,,,BWR A4,12-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6411,Olympic Oil Industries Ltd BWR A3,,31-Aug-16,BWR A3,27-Nov-17,,,,,,,,,,,,,,,,,BWR A3,27-Nov-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6412,Om Construction BWR B +,,25-Oct-17,,,,,,,,,,,,,,,,,,,BWR B +,25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6413,Om Construction BWR A4,,25-Oct-17,,,,,,,,,,,,,,,,,,,BWR A4,25-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6414,Om Dutta Industries BWR B,,06-Mar-15,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6415,Om Enterprises BWR BB-,,18-Aug-16,,,,,,,,,,,,,,,,,,,BWR BB-,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6416,Om Enterprises BWR A4,,18-Aug-16,,,,,,,,,,,,,,,,,,,BWR A4,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6417,Om Guru Maata Agro Products BWR B,,17-Aug-15,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6418,Om Motors BWR B,,21-Mar-17,,,,,,,,,,,,,,,,,,,BWR B,21-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6419,Om Oil Industries BWR B,,09-Dec-13,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6420,Om Ram Educational Foundation BWR B,,13-Aug-14,BWR B,15-Feb-16,,,,,,,,,,,,,,,,,BWR B,15-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6421,Om Shivam Constructions BWR BB,,20-Apr-17,,,,,,,,,,,,,,,,,,,BWR BB,20-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,OM Shree Agro Industries Pvt. Ltd. BWR B,,27-Dec-13,NOT REVIEWED,30-Aug-16,BWR B -,13-Dec-17,,,,,,,,,,,,,,,BWR B -,13-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6423,Om Welfare and Educational Trust BWR BB -,,26-Feb-18,,,,,,,,,,,,,,,,,,,BWR BB -,26-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6424,Om Welfare Society BWR BB+,,16-Apr-13,BWR BB+,24-Sep-14,BWR BB+,05-Feb-16,NOT REVIEWED,15-May-17,BWR BB+,01-Jun-17,,,,,,,,,,,BWR BB+,01-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6425,Om Yarn Plus Pvt Ltd BWR BB,,21-Feb-18,,,,,,,,,,,,,,,,,,,BWR BB,21-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6426,Om Yarn Plus Pvt Ltd BWR A4,,21-Feb-18,,,,,,,,,,,,,,,,,,,BWR A4,21-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6427,Omar Cold Storage Pvt Ltd BWR BB -,,01-Sep-17,,,,,,,,,,,,,,,,,,,BWR BB -,01-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6428,Omax Minerals Pvt Ltd BWR BBB + (SO),,27-Feb-18,,,,,,,,,,,,,,,,,,,BWR BBB + (SO),27-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6429,Omax Minerals Pvt Ltd BWR A3 +,,27-Feb-18,,,,,,,,,,,,,,,,,,,BWR A3 +,27-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6430,Omega Biotech Ltd. BWR A4+,,06-Jan-14,BWR A4+,18-Dec-14,BWR A4+,12-Jan-16,NOT REVIEWED,24-May-17,,,,,,,,,,,,,NOT REVIEWED,24-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,Omega Biotech Ltd. BWR BB+,,06-Jan-14,BWR BB+,18-Dec-14,BWR BB+,12-Jan-16,NOT REVIEWED,24-May-17,,,,,,,,,,,,,NOT REVIEWED,24-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6432,Omega International BWR A4,,22-Jan-14,NOT REVIEWED,16-May-16,BWR A4,04-Apr-17,,,,,,,,,,,,,,,BWR A4,04-Apr-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6433,Omkar Nests Pvt. Ltd. BWR BB-,,28-Oct-14,NOT REVIEWED,30-Dec-16,BWR B +,20-Dec-17,,,,,,,,,,,,,,,BWR B +,20-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6434,Omkar Realtors Projects Pvt. Ltd BWR BB +,,11-Jul-17,,,,,,,,,,,,,,,,,,,BWR BB +,11-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6435,Omkar Realtors Projects Pvt. Ltd BWR BBB- (SO),,30-Sep-16,BWR BBB- (SO),01-Jun-17,,,,,,,,,,,,,,,,,BWR BBB- (SO),01-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6436,Omkar Speciality Chemicals Ltd. BWR BBB,,01-Aug-16,BWR D,03-Oct-17,,,,,,,,,,,,,,,,,BWR D,03-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6437,Omkar Speciality Chemicals Ltd. BWR A3,,01-Aug-16,BWR D,03-Oct-17,,,,,,,,,,,,,,,,,BWR D,03-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6438,Omni Impex Pvt. Ltd. BWR BB-,,12-May-14,NOT REVIEWED,19-May-16,,,,,,,,,,,,,,,,,NOT REVIEWED,19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6439,Omni Impex Pvt. Ltd. BWR A4,,12-May-14,NOT REVIEWED,19-May-16,,,,,,,,,,,,,,,,,NOT REVIEWED,19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6440,Omprakash Roller Flour Mills Pvt Ltd BWR B+,,19-May-16,BWR B +,20-Jun-17,,,,,,,,,,,,,,,,,BWR B +,20-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6441,Omsairam Steel and Alloys Pvt. Ltd BWR BB+,,20-Feb-14,NOT REVIEWED,03-Dec-15,,,,,,,,,,,,,,,,,NOT REVIEWED,03-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,Omsairam Steel and Alloys Pvt. Ltd BWR A4+,,20-Feb-14,NOT REVIEWED,03-Dec-15,,,,,,,,,,,,,,,,,NOT REVIEWED,03-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,
6443,OmShakthy Technopark Pvt Ltd BWR BBB- (SO),,28-Nov-16,,,,,,,,,,,,,,,,,,,BWR BBB- (SO),28-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6444,Onam Educational Society BWR B+,,22-Mar-16,BWR BB -,07-Jul-17,,,,,,,,,,,,,,,,,BWR BB -,07-Jul-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6445,OP Chains Co BWR BB,,22-Jan-18,,,,,,,,,,,,,,,,,,,BWR BB,22-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6446,OPG Energy Pvt. Ltd. BWR BBB+,,06-Nov-15,BWR A-,15-May-17,,,,,,,,,,,,,,,,,BWR A-,15-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6447,OPG Energy Pvt. Ltd. BWR A2+,,06-Nov-15,BWR A2+,15-May-17,,,,,,,,,,,,,,,,,BWR A2+,15-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6448,OPG Power Generation Private Limited BWR BBB+,,16-Jul-13,BWR A-,20-Jun-14,BWR A,11-Jun-15,BWR A+,26-May-16,BWR A+,26-May-17,,,,,,,,,,,BWR A+,26-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,OPG Power Generation Private Limited BWR A2,,16-Jul-13,BWR A2+,20-Jun-14,BWR A1,11-Jun-15,BWR A1,26-May-16,BWR A1,26-May-17,,,,,,,,,,,BWR A1,26-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6450,OPJ Trading Pvt. Ltd. BWR A - (SO),,27-Oct-17,,,,,,,,,,,,,,,,,,,BWR A - (SO),27-Oct-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6451,Optima Homes Pvt Ltd BWR BB-,,17-Nov-16,BWR B +,21-Feb-18,,,,,,,,,,,,,,,,,BWR B +,21-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6452,Opto Circuits India Limited BWR BBB+,,07-Dec-12,BWR BBB-,03-Jul-13,BWR BB (Ratings Wat,02-Aug-13,BWR BB,24-Jul-14,BWR D,10-Jun-15,NOT REVIEWED,30-Dec-16,,,,,,,,,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6453,Opto Circuits India Limited BWR A3+,,07-Dec-12,BWR A3,03-Jul-13,BWR A4 (Ratings Wat,02-Aug-13,BWR A4,24-Jul-14,BWR D,10-Jun-15,NOT REVIEWED,30-Dec-16,,,,,,,,,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6454,Orange City Housing Finance Ltd. BWR BB,,24-Dec-14,BWR BB+,26-Feb-16,BWR BB+,30-May-17,,,,,,,,,,,,,,,BWR BB+,30-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6455,Orbit Ayas Pvt. Ltd BWR BB-,,13-Dec-16,,,,,,,,,,,,,,,,,,,BWR BB-,13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6456,Orbit Ayas Pvt. Ltd BWR A4,,13-Dec-16,,,,,,,,,,,,,,,,,,,BWR A4,13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6457,Orbit Cera Tiles Pvt. Ltd. BWR C,,06-Jan-14,BWR B,22-Jan-15,BWR B,02-Mar-16,NOT REVIEWED,06-Jun-17,,,,,,,,,,,,,NOT REVIEWED,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6458,Orbit Cera Tiles Pvt. Ltd. BWR A4,,06-Jan-14,BWR A4,22-Jan-15,BWR A4,02-Mar-16,NOT REVIEWED,06-Jun-17,,,,,,,,,,,,,NOT REVIEWED,06-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6459,Orbit Metal Industries BWR BB-,,03-Nov-15,BWR BB-,29-Sep-16,,,,,,,,,,,,,,,,,BWR BB-,29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6460,Orbit Metal Industries BWR A4-,,03-Nov-15,BWR A4,29-Sep-16,,,,,,,,,,,,,,,,,BWR A4,29-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6461,Orbit Resorts Limited BWR BB -,,26-Feb-18,,,,,,,,,,,,,,,,,,,BWR BB -,26-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6462,Orchard Extractions Pvt. Ltd. BWR BB-,,05-Dec-13,NOT REVIEWED,05-Aug-16,BWR B +,07-Sep-17,,,,,,,,,,,,,,,BWR B +,07-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6463,Orchid Exim (India) Pvt. Ltd. BWR BB-,,03-Mar-15,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,Orchid Exim (India) Pvt. Ltd. BWR A4,,03-Mar-15,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,30-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
6465,Orchids Apartments Private Limited BWR BB +,,20-Jun-17,,,,,,,,,,,,,,,,,,,BWR BB +,20-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6466,Orient Green Power Company Limited. BWR BBB-,,16-Nov-12,BWR D,19-Dec-14,NOT REVIEWED,12-Jun-17,,,,,,,,,,,,,,,NOT REVIEWED,12-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6467,Orient Poles BWR BB -,,06-Feb-18,,,,,,,,,,,,,,,,,,,BWR BB -,06-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6468,Orient Poles BWR A4,,06-Feb-18,,,,,,,,,,,,,,,,,,,BWR A4,06-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6469,Oriental Bank of Commerce BWR AAA,,01-Jul-09,BWR AAA,06-Oct-10,BWR AA,03-Dec-12,BWR AA,11-Dec-13,BWR AA,02-Sep-15,BWR AA-,11-Mar-16,BWR AA-,06-Apr-17,BWR A +,03-Jul-17,BWR A +,25-Oct-17,BWR A +,27-Mar-18,BWR A +,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6470,Oriental Bank of Commerce BWR AAA,,06-Oct-10,BWR AA,03-Dec-12,BWR AA,11-Dec-13,BWR AA,02-Sep-15,BWR AA-,11-Mar-16,BWR AA-,06-Apr-17,BWR A +,03-Jul-17,BWR A +,25-Oct-17,BWR A +,27-Mar-18,,,BWR A +,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6471,Oriental Bank of Commerce BWR AAA,,06-Oct-10,BWR AA+,03-Dec-12,BWR AA+,11-Dec-13,BWR AA+,02-Sep-15,BWR AA,11-Mar-16,BWR AA,06-Apr-17,BWR A +,03-Jul-17,BWR A +,25-Oct-17,BWR A +,27-Mar-18,,,BWR A +,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6472,Oriental Bank of Commerce BWR AAA,,06-Oct-10,BWR AA+,03-Dec-12,BWR AA+,11-Dec-13,BWR AA+,02-Sep-15,BWR AA,11-Mar-16,BWR AA -,03-Jul-17,BWR AA -,25-Oct-17,BWR AA -,27-Mar-18,,,,,BWR AA -,27-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6473,Oriental Ceramics & Refractories (P) Ltd. BWR A4+,,05-Aug-13,BWR A4+,09-Oct-15,,,,,,,,,,,,,,,,,BWR A4+,09-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,
6474,Oriental Ceramics & Refractories (P) Ltd. BWR BB,,05-Aug-13,BWR BB,09-Oct-15,,,,,,,,,,,,,,,,,BWR BB,09-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,
6475,Oriental Pathways (Nagpur) Pvt. Ltd. BWR B +,,26-Dec-17,,,,,,,,,,,,,,,,,,,BWR B +,26-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6476,Oriental Sales Agencies India Pvt Ltd BWR A+ (SO),,17-Nov-16,BWR A + (SO),18-Jan-18,,,,,,,,,,,,,,,,,BWR A + (SO),18-Jan-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6477,Orion CNC Components Limited BWR BB-,,11-Feb-15,NOT REVIEWED,05-Aug-16,BWR B +,07-Sep-17,,,,,,,,,,,,,,,BWR B +,07-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6478,Orion Conmerx Pvt. Ltd BWR BB+,,30-Mar-16,BWR BB,18-Sep-17,,,,,,,,,,,,,,,,,BWR BB,18-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6479,Orion Conmerx Pvt. Ltd BWR A4+,,30-Mar-16,BWR A4,18-Sep-17,,,,,,,,,,,,,,,,,BWR A4,18-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6480,Orion Security Solutions Pvt Ltd BWR BBB -,,16-Feb-18,,,,,,,,,,,,,,,,,,,BWR BBB -,16-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6481,Orion Security Solutions Pvt Ltd BWR A3,,16-Feb-18,,,,,,,,,,,,,,,,,,,BWR A3,16-Feb-18,,,,,,,,,,,,,,,,,,,,,,,,,,
6482,Orissa Manganese & Minerals Ltd BWR A-,,25-Jul-14,Rating Suspended,02-Feb-15,BWR BB-,09-Dec-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6483,Orissa Manganese & Minerals Ltd BWR A2+,,25-Jul-14,Rating Suspended,02-Feb-15,BWR A4,09-Dec-15,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,NOT REVIEWED,28-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6484,Orissa Stevedores Ltd. BWR B,,31-Mar-15,BWR B,27-Jun-16,BWR B,28-Jun-17,,,,,,,,,,,,,,,BWR B,28-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6485,Osaw Agro Industries Pvt Ltd BWR BB +,,23-Jun-17,,,,,,,,,,,,,,,,,,,BWR BB +,23-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6486,Osaw Agro Industries Pvt Ltd BWR A4 +,,23-Jun-17,,,,,,,,,,,,,,,,,,,BWR A4 +,23-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6487,OSIL Exports Ltd. (Erstwhile Om Sakk (India) Industries Limited BWR BBB-,,05-Jul-13,BWR BB+,03-Jun-15,NOT REVIEWED,03-Mar-17,,,,,,,,,,,,,,,NOT REVIEWED,03-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6488,OSIL Exports Ltd. (Erstwhile Om Sakk (India) Industries Limited BWR A3,,05-Jul-13,BWR A4,03-Jun-15,NOT REVIEWED,03-Mar-17,,,,,,,,,,,,,,,NOT REVIEWED,03-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
6489,OSL Exclusive Pvt. Ltd. BWR BB,,09-Sep-14,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,NOT REVIEWED,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
